TIC,m_TIC,RAJ2000,DEJ2000,pmRA,pmDE,Tmag,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,TESSebs,Simbad
185259483,1,175.1082987591,-6.1025301959,5.765,-10.347,10.918,1544.164633,2.111744e-05,0.310564,1.4082922e-07,0.837,0.127,0.098,0.6824,,,,0.3201,0.219,0.004219,,,,TESSebs,Simbad
307990280,1,129.2359834347,-67.744750524,-22.88,-12.314,9.431,1546.118024,0.03253564,2.3159117,3.0407871e-05,0.932,0.305,0.036,1.002,0.267,0.023,0.515,,,,,,,TESSebs,Simbad
387178621,1,140.4140519781,-55.9076768445,-4.222,4.224,11.145,1548.193069,0.005988251,8.1871258,4.664703e-05,0.545,0.071,0.271,1.001,,,,0.1409,0.441,9.462e-05,0.177,0.071,0.5064,TESSebs,Simbad
300560295,1,112.9159873676,-68.1332134683,-20.414,9.187,10.776,1603.567276,0.001386802,20.588776,6.2427103e-05,0.044,0.004,0.027,1.0,0.004,0.026,0.5,0.006209,0.03,0.0004256,0.006,0.029,0.5004,TESSebs,Simbad
318185328,1,162.1417983388,-3.6244953157,51.8,-44.01,10.41,1544.643095,0.003120152,0.3683055,1.6045199e-06,0.745,0.098,0.094,1.012,,,,0.3624,0.3,0.003106,0.303,0.243,0.5031,TESSebs,Simbad
363326796,1,146.0981967995,-48.8373107729,-43.221,17.83,9.835,1553.843475,0.0001548102,11.3956206,0.00023710157,0.16,0.018,0.067,1.0,,,,0.02891,0.087,1.0,0.038,0.006,0.5,TESSebs,Simbad
73764693,1,155.8412284988,-37.6166400555,-33.259,-20.126,11.777,1544.388542,0.002339403,0.139296,2.6355675e-05,0.657,,,,,,,,,,,,,TESSebs,Simbad
31273263,1,88.103691282,-68.1595542749,5.418,26.235,10.786,1337.915766,0.05350138,22.5729583,0.0010021914,0.081,0.012,0.14,1.002,,,,0.0193,0.22,1.905e-05,,,,TESSebs,Simbad
279955276,1,82.1350900913,-68.6037596624,2.062,13.619,10.588,1326.275208,4.924709e-05,0.5768497,2.2224993e-07,0.636,0.101,0.059,0.9999,,,,0.196,0.099,0.9998,0.109,0.032,0.5,TESSebs,Simbad
144167463,1,176.9744197545,-9.0637903719,-6.539,-0.126,9.661,1544.874663,0.2122161,2.1466378,0.00012232685,0.899,0.227,0.007,0.9897,0.241,0.005,0.481,,,,,,,TESSebs,Simbad
364325969,1,101.6726902033,-61.5964799809,-11.039,21.33,11.568,1544.665861,0.0005795636,0.4198945,1.7364369e-07,0.798,0.114,0.121,1.001,0.16,0.117,0.501,0.4043,0.334,0.9992,0.397,0.326,0.5031,TESSebs,Simbad
302038263,1,131.951485,-69.398399,-7.0,5.8,10.363,1545.226842,6.314902e-05,1.5472603,3.00499e-06,0.528,0.086,0.057,1.0,0.1,0.008,0.499,0.1295,0.064,3.957e-05,0.134,0.012,0.5,TESSebs,Simbad
176983267,1,101.4349579814,-66.9704814158,-2.503,0.537,12.525,1544.408833,9.997649e-05,0.4180924,3.2013245e-07,0.991,0.229,0.058,1.002,0.253,0.057,0.5,,,,,,,TESSebs,Simbad
308751185,1,122.3853362047,-65.8004623321,-2.71,3.507,10.211,1544.68164,0.006080399,1.3616205,2.2522939e-05,0.94,0.211,0.054,1.002,0.271,0.044,0.504,0.2779,0.057,0.9977,,,,TESSebs,Simbad
341550561,1,120.5647248895,-55.5405944226,-10.882,3.813,6.729,1493.729613,0.0684753,1.1057183,6.6482197e-06,0.847,0.344,0.085,0.562,,,,,,,,,,TESSebs,Simbad
140757590,1,74.2811658184,-72.1319016114,9.697,16.102,11.797,1544.571871,0.000413408,0.4184041,9.3026144e-07,0.865,0.154,0.125,0.9985,,,,,,,,,,TESSebs,Simbad
140084919,1,126.534584,-48.909116,-22.7,31.3,8.688,1518.534148,0.04977956,0.8450043,4.9720408e-06,1.011,0.259,0.014,1.0,0.272,0.013,0.5,7.484e-05,0.023,0.5006,0.138,0.01,0.9398,TESSebs,Simbad
177118376,1,104.303159,-66.280067,,,11.886,1544.148752,4.235088e-05,0.4112904,4.4010114e-07,0.878,0.182,0.06,0.996,0.219,0.054,0.496,0.2911,0.081,0.9962,0.263,0.073,0.4972,TESSebs,Simbad
388179896,1,51.8979713353,-72.8486546598,32.202,42.235,10.024,1354.24024,0.001721232,0.3098493,1.7611693e-08,0.721,0.086,0.13,0.993,,,,0.3093,0.452,0.9988,0.277,0.347,0.5039,TESSebs,Simbad
177308817,1,103.158565,-73.824727,-24.892,38.427,11.467,1339.631384,0.001992056,23.8960519,0.00023794486,0.067,0.01,0.047,1.0,,,,0.01347,0.046,0.0001556,,,,TESSebs,Simbad
142013583,1,96.2028908601,-72.0110005009,-1.068,27.039,12.32,1544.841909,9.774553e-05,0.3220011,3.1561076e-07,0.964,0.24,0.064,0.9998,0.238,0.061,0.501,,,,,,,TESSebs,Simbad
31415131,1,88.9005768513,-70.218655526,-4.901,2.834,12.499,1544.781214,0.0001042427,0.7896026,3.3522157e-06,0.63,0.116,0.128,0.9999,0.101,0.042,0.499,0.2002,0.166,7.776e-05,0.15,0.076,0.5,TESSebs,Simbad
146530594,1,159.0194030364,-45.0978869354,-7.219,2.312,11.778,1561.765652,0.002290985,27.0879453,0.0013092551,0.132,0.013,0.039,1.0,,,,0.0229,0.051,5.306e-05,,,,TESSebs,Simbad
167719897,1,103.2827708003,-65.7017715739,-5.048,3.654,11.657,1570.687976,1.658475e-05,0.5133215,3.187454e-07,0.941,0.243,0.06,1.003,0.214,0.052,0.503,,,,,,,TESSebs,Simbad
391906858,1,175.4460339694,-14.7929406871,27.205,-33.269,9.442,1545.197888,0.001863343,1.1471897,8.8874796e-05,0.933,0.259,0.005,1.001,0.292,0.003,0.504,,,,,,,TESSebs,Simbad
349911034,1,113.9709742222,-65.6827206875,-24.418,6.977,11.829,1544.251113,0.0004124575,0.5384816,4.2226399e-06,0.553,,,0.9976,,,0.076,0.2216,0.011,0.9995,,,,TESSebs,Simbad
349642881,1,111.7879988682,-60.7965954941,-10.776,15.246,15.23,1598.700713,0.009695047,1.4735083,1.5390682e-05,0.346,0.054,0.083,1.0,,,,0.06103,0.068,0.00583,,,,TESSebs,Simbad
150101472,1,92.1058357292,-63.2544162178,25.53,33.286,9.877,1547.331721,0.0005887858,3.2785242,2.3908926e-06,0.352,0.045,0.002,1.005,0.034,0.001,0.502,0.06455,0.003,0.004479,0.063,0.001,0.4985,TESSebs,Simbad
22221233,1,148.9849479991,-24.0520365181,-57.42,12.785,10.604,1544.767221,0.0008876495,1.8623447,0.000219832,0.686,0.117,0.059,0.9998,,,,0.1948,0.088,0.0002924,,,,TESSebs,Simbad
93997745,1,130.5674538674,-48.0990784044,-1.622,0.765,5.697,1518.825569,0.006291972,1.124485,2.9919995e-06,0.905,0.27,0.011,0.9902,0.258,0.007,0.5,,,,,,,TESSebs,Simbad
177258700,1,102.2495972501,-73.3640198894,-1.571,7.744,11.11,1598.676909,0.001182652,0.6879647,2.9956117e-07,0.811,0.119,0.099,0.9966,,,,0.3777,0.348,0.9984,,,,TESSebs,Simbad
189639080,1,144.218647956,-28.4865633194,-26.065,-20.67,14.215,1517.285695,0.001279695,3.1337762,3.483503e-06,0.162,0.018,0.208,0.4978,0.02,0.085,0.999,0.02613,0.148,0.4979,0.026,0.107,0.9987,TESSebs,Simbad
382069441,1,79.6739311359,-58.0705893248,6.685,-39.464,11.379,1327.777811,0.6997004,5.4786639,0.0099463422,0.615,0.085,0.019,0.9948,0.409,0.007,0.048,0.0665,0.015,0.5004,,,,TESSebs,Simbad
349518145,1,111.2558893592,-61.31657805,0.084,18.599,12.602,1327.574927,0.001280939,8.2798747,1.8669396e-05,0.15,0.015,0.032,0.5002,0.016,0.028,1.0,0.02172,0.035,0.5004,0.022,0.03,0.0004761,TESSebs,Simbad
289801742,1,160.9945702945,-11.9797841032,-11.447,-1.027,9.756,1545.778843,5.37094e-05,1.3896275,9.0214003e-06,0.63,0.117,0.15,1.0,0.12,0.077,0.5,0.1829,0.186,1.0,0.193,0.108,0.5,TESSebs,Simbad
106309554,1,158.858481253,-39.7421622293,-20.4,4.9,9.673,1544.478376,8.135959e-05,1.1031609,1.1210896e-05,0.638,0.15,0.142,1.0,,,,0.2941,0.198,0.000479,0.215,0.056,0.5,TESSebs,Simbad
468997317,1,144.0238660222,-51.7446690252,-15.554,4.79,8.135,1551.616807,0.01206219,3.7500535,0.00031664484,0.325,0.057,0.006,0.6651,,,,0.07619,0.005,0.6684,,,,TESSebs,Simbad
167005326,1,94.9935627015,-69.9677188199,-14.073,11.714,12.25,1598.513864,7.279419e-05,0.7204063,2.3743683e-06,0.689,,,1.005,,,0.109,,,,,,,TESSebs,Simbad
321312438,1,175.3458811113,-60.3055604239,-12.468,4.979,9.637,1570.67903,0.001466621,1.1847683,3.6192796e-05,0.507,0.086,0.002,0.998,,,,0.1666,0.003,0.9967,0.116,0.002,0.4942,TESSebs,Simbad
450276745,1,168.7990767201,-59.4161826997,-4.813,0.639,8.816,1570.782528,0.000224046,1.266478,1.0558848e-07,0.585,0.117,0.029,1.001,0.121,0.021,0.504,0.1832,0.033,0.001451,0.184,0.026,0.5037,TESSebs,Simbad
135244338,1,186.1582284816,-40.2311951399,-12.4,-17.5,8.336,1571.370454,0.06383148,0.6149767,4.7324996e-06,0.963,0.251,0.052,0.8961,0.222,0.049,0.387,0.3733,0.112,0.3908,,,,TESSebs,Simbad
181226974,1,174.8943949687,-40.232754948,-4.928,2.067,11.035,1572.39012,0.0003896867,1.9353781,7.3550089e-05,0.538,0.055,0.026,1.0,,,,0.09384,0.041,0.0001117,,,,TESSebs,Simbad
5981829,1,193.685640978,-21.3109803398,-27.572,-31.063,9.099,1571.120876,0.0002906114,1.799076,4.8356671e-05,0.607,0.105,0.088,0.9999,0.102,0.013,0.499,0.1675,0.11,3.602e-05,0.168,0.032,0.5,TESSebs,Simbad
293081694,1,175.0413759924,-27.2632226243,-41.116,6.63,9.571,1571.575223,0.02156281,1.2561019,2.045853e-05,0.659,0.04,0.015,1.0,,,,,,,,,,TESSebs,Simbad
457427613,1,157.3973894226,-57.9663824733,-7.191,3.632,5.25,1570.149996,0.000137674,1.2228117,1.6690786e-05,0.599,,,0.5437,,,0.05,0.0002598,0.016,0.9913,,,,TESSebs,Simbad
167722431,1,103.5294498598,-61.6604486418,-17.698,36.38,10.498,1544.801763,0.0004980987,0.5411687,1.5437831e-06,0.689,0.177,0.32,0.9997,0.189,0.08,0.5,0.323,0.409,0.0006762,0.327,0.164,0.5,TESSebs,Simbad
167692491,1,102.5767095459,-63.5032439298,-1.127,3.165,11.283,1570.619422,0.0001618109,0.4208575,5.0792121e-08,0.973,0.271,0.028,1.002,0.236,0.023,0.501,,,,,,,TESSebs,Simbad
294206967,1,108.3313775965,-59.3163093578,5.101,6.673,13.02,1598.883659,0.0009442639,2.7580575,8.1602911e-05,0.483,0.07,0.026,0.9894,,,,0.09749,0.025,0.9892,0.107,0.007,0.4905,TESSebs,Simbad
228760807,1,194.1014104166,-27.3905828803,-109.38,45.4,9.459,1571.438988,0.00180188,0.7779784,2.2550409e-06,0.511,0.091,0.034,1.002,0.08,0.014,0.507,0.1275,0.039,0.9999,0.136,0.017,0.5007,TESSebs,Simbad
295885511,1,171.8996570324,-70.1263571864,-13.23,-0.514,8.351,1571.944387,0.0002695636,5.0547566,5.4650113e-06,0.475,0.055,0.011,1.0,0.055,0.004,0.5,0.08109,0.012,0.0003841,0.086,0.006,0.5,TESSebs,Simbad
38586438,1,64.0902106825,-62.0128901216,-75.148,-70.567,11.67,1325.336622,7.035556e-05,1.1112853,2.0294742e-07,0.368,0.042,0.148,0.9999,0.042,0.116,0.5,0.063,0.162,0.9999,0.059,0.13,0.4997,TESSebs,Simbad
398850090,1,162.3086628156,-67.7473048488,-18.402,6.349,10.584,1579.023368,0.0001277463,13.1813342,0.00015089812,0.107,0.016,0.432,1.0,0.021,0.427,0.534,0.02354,0.496,3.254e-07,0.031,0.463,0.5342,TESSebs,Simbad
73177813,1,189.9135507843,-42.9424315909,-2.174,2.794,9.739,1574.965564,0.0008512261,8.8160188,0.0038795034,0.608,0.07,0.007,0.5032,,,,0.11,0.035,0.0006407,0.118,0.016,0.4986,TESSebs,Simbad
30313682,1,74.1906258018,-66.8909271999,-12.199,-16.062,10.062,1329.89694,7.285407e-05,5.7273674,5.2733662e-06,0.422,0.048,0.157,1.0,0.05,0.12,0.5,0.07104,0.169,1.531e-06,0.076,0.128,0.4999,TESSebs,Simbad
308085294,1,129.8101555256,-69.273915847,-2.232,11.671,7.063,1359.577415,0.1679553,4.3329138,0.0082875182,0.807,,,,,,,,,,,,,TESSebs,Simbad
300293197,1,110.27963897,-68.5784062,5.8,9.3,9.491,1592.589334,0.006556311,13.1176103,0.0010091039,0.443,,,,,,,,,,,,,TESSebs,Simbad
364302118,1,78.2265078044,-61.6986975067,5.019,2.77,10.361,1326.444544,0.0001897066,1.3453456,5.4846478e-07,0.56,0.072,0.035,1.0,0.069,0.02,0.501,0.1124,0.044,0.0002759,0.103,0.028,0.5,TESSebs,Simbad
272357134,1,119.4796384111,-73.4730790949,-0.496,-9.318,8.536,1571.969612,0.001291376,4.1969492,1.0132965e-06,0.497,0.053,0.013,0.9868,,,,0.09855,0.02,0.9865,,,,TESSebs,Simbad
318986273,1,173.4394540714,-62.0925602899,-153.1,108.92,12.743,1570.253431,0.003674703,3.1070197,0.0004825211,0.532,0.089,0.18,1.0,0.126,0.029,0.485,0.1462,0.204,0.001299,0.196,0.043,0.5,TESSebs,Simbad
261677352,1,185.9171947147,-56.2757073183,-34.951,-12.283,9.901,1571.856,0.294878,1.1467472,1.6200935e-05,0.873,0.186,0.032,0.5023,0.179,0.032,1.0,0.369,0.053,0.001027,0.37,0.052,0.4999,TESSebs,Simbad
355151781,1,130.0749406937,-64.8380114923,-9.852,11.727,8.409,1545.275044,0.0004135517,1.5807272,4.5083348e-07,0.978,0.269,0.024,1.0,0.242,0.018,0.499,,,,,,,TESSebs,Simbad
276935987,1,83.70044509,-69.7101402085,1.866,0.572,11.846,1324.401216,0.006205808,4.2507272,8.194242e-05,0.663,0.109,0.249,1.0,0.08,0.126,0.5,0.2565,0.479,0.999,0.23,0.365,0.5008,TESSebs,Simbad
349480507,1,110.9367719347,-65.0109401699,-20.64,47.765,9.396,1355.493939,0.02742191,1.5620192,1.7814617e-07,0.552,0.064,0.113,0.976,,,,0.1703,0.339,0.958,,,,TESSebs,Simbad
72121778,1,186.2899685506,-42.7010185484,-37.511,2.346,11.714,1571.994553,0.0008338954,6.0117788,0.0003378114,0.162,0.021,0.068,1.0,0.023,0.01,0.5,0.03005,0.073,1.0,0.032,0.01,0.4998,TESSebs,Simbad
390549095,1,160.6004631591,-60.4825481461,-5.655,2.568,9.078,1569.987336,0.0008883478,1.8695387,0.00010284565,0.644,0.127,0.005,1.0,0.141,0.001,0.499,0.2523,0.006,0.0001543,0.194,0.003,0.5006,TESSebs,Simbad
300443831,1,111.754677669,-69.5153450274,10.595,-14.389,8.272,1354.467439,0.002095856,0.8474457,1.5208856e-07,0.883,0.173,0.099,1.001,0.214,0.085,0.509,,,,,,,TESSebs,Simbad
167338355,1,98.3455581149,-70.1248279508,-5.157,30.986,12.694,1544.668605,0.001458787,0.2883619,2.2014396e-06,0.748,0.117,0.172,1.004,0.092,0.126,0.507,0.319,0.464,0.009291,0.292,0.418,0.508,TESSebs,Simbad
294784522,1,71.3160744944,-70.9992893723,-8.684,6.96,9.355,1354.288633,0.0003801501,0.4956179,2.2654826e-08,0.848,0.146,0.065,0.9995,0.203,0.046,0.499,0.3347,0.108,0.0002282,0.239,0.092,0.4979,TESSebs,Simbad
347752831,1,198.539274,-16.558724,122.93,-145.69,7.639,1572.058929,0.004224817,2.164663,3.0136268e-06,0.26,,,,,,,,,,,,,TESSebs,Simbad
