toi,tid,tfopwg_disp,sectors,pl_orbper,pl_trandep,pl_rade
1017.01,182943944,FP,,1.10422,14177.7,21.0448
1018.01,291555748,FP,,4.95912,7440.0,22.9123
1019.01,341420329,PC,,5.2341008,20796.9416293,24.2931408
102.01,149603524,KP,,4.4119372,14711.8810303,15.0648739
1020.01,140706664,FP,,3.28892,10518.9,
1021.01,143994283,FP,,1.90879,618.482,3.34688
1022.01,47384844,FA,,3.09574,380.0,3.4262
1023.01,238374636,FP,,1.3214483,2180.0,21.8839
1024.01,141482386,FP,,18.0157,610.0,21.644
1025.01,297967252,FP,,9.6837908,4965.2496516,25.3602704
1026.01,388624270,FP,,14.2628757,913.2067174,2.4765813
1027.01,20318757,PC,,3.2834565,1558.0,2.87648
1027.02,20318757,PC,,11.02875,1694.0,2.76586
1027.03,20318757,PC,,5.0113292,1210.0,2.52314
1028.01,447283466,FP,,1.01606,240.0,1.20704
1029.01,374908020,FP,,36.22214,7170.0,
103.01,336732616,KP,,3.547854,10424.3718,14.581841
1030.01,464296022,FP,,12.1246519,7279.0,17.6729
1031.01,304021498,FP,,5.652623,1250.0,8.94354
1032.01,146589986,PC,,5.6643704,3491.8232968,14.7738943
1033.01,149601557,FP,,29.0161646,1238.3381592,6.8208109
1034.01,400595342,FP,,3.6404389,476.3077321,3.7025342
1035.01,361413119,PC,,6.0744477,5982.5212406,30.9493217
1036.01,146172354,PC,,3.7795212,2761.0,5.98375
1037.01,363260203,FP,,1.2025238,390.0,6.31106
1038.01,90544017,FP,,3.2235985,680.0,5.51341
1039.01,461867584,APC,,4.420125,2466.0,
104.01,231670397,KP,,4.0872956,3572.1712499,13.6237732
1040.01,310483807,FP,,2.55555,397.9246747,12.5272602
1041.01,385624852,FP,,8.30792,8350.0,43.1068
1042.01,360286627,FP,,0.758082,583.93181,10.1273702
1043.01,90448944,FP,,1.4415577,507.0,3.61078
1044.01,463402815,PC,,1.0085089,3051.0,
1045.01,54044474,FP,,3.7039994,7590.0,17.57
1046.01,309787037,FP,,1.3042553,914.0,9.36472
1047.01,370745311,FP,,0.62627,1880.0,5.72162
1063.01,406976746,PC,,10.0665238,839.9044871,2.7272824
1064.01,79748331,CP,,6.4438657,1121.9512275,2.460344
1064.02,79748331,CP,,12.2265595,1206.3693293,2.6014766
1065.01,7088246,KP,,2.1605155,13774.8794619,12.5491935
1066.01,201604954,KP,,4.606184,13793.034867,12.962219
1067.01,201642601,KP,,3.1316735,14915.6943722,9.4995191
1068.01,6663331,KP,,3.180362,21192.463324,13.446487
1069.01,31858843,KP,,2.9776446,13022.0,14.4339
107.01,92352620,KP,,3.9502008,13914.0,20.5357
1070.01,31858844,FP,,2.9776152,43218.111683,26.88423
1071.01,120247528,KP,,3.5544026,10164.8753396,13.200677
1072.01,140830390,FP,,12.8379689,10539.0192794,25.4886382
1073.01,158297421,CP,,3.9228016,31510.9004906,13.3368705
1074.01,327301957,PC,,13.9428705,1015.395543,2.4233421
1075.01,351601843,CP,,0.6047392,1027.6833479,1.8625587
1076.01,360742636,KP,,2.5495611,14921.4021936,12.9171288
1077.01,369960846,PC,,1.6062693,16725.3019333,12.6436029
1048.01,384549882,FP,,0.30412,1330.0,10.417
1049.01,16288184,KP,,2.1805333,16399.8584641,16.6994623
105.01,144065872,KP,,2.1846669,11535.5475157,13.7127047
1050.01,66818296,KP,,3.7354838,17030.0,21.2315
1051.01,259863352,FA,,21.701669,211.6567325,2.3751494
1052.01,317060587,CP,,9.139804,358.4157801,3.0629855
1053.01,112395568,FP,,5.742625,1105.760867,13.088532
1054.01,366989877,CP,,15.5077855,513.0,2.43432
1055.01,320004517,CP,,17.4713078,1199.7541483,3.5766828
1056.01,421894914,PC,,5.3079507,391.3830934,3.0486928
1057.01,323132914,PC,,51.1701501,851.4547808,2.9366826
1058.01,31553893,PC,,11.1296441,951.6169809,12.8402271
1059.01,380783252,PC,,9.4496506,19750.0,17.0216
106.01,38846515,KP,,2.8493827,7740.4889995,16.0782163
1060.01,101230735,APC,,2.0685633,502.0,3.89739
1061.01,253990973,FP,,0.540933,257.347459,2.28501
1062.01,299799658,CP,,4.1150576,487.0,2.30057
1000.01,50365310,FP,,2.1713484,656.8860989,5.8181633
1001.01,88863718,PC,,1.9316462,1286.0,11.2154
1002.01,124709665,FP,,1.8675574,1500.0,23.7529
1003.01,106997505,FP,,2.74323,383.41,
1004.01,238597883,FP,,3.5730141,755.0,11.3113
1005.01,169904935,FP,,4.5505945,3731.0,7.10841
1006.01,156115721,FP,,2.5047918,2270.5402194,8.6950898
1007.01,65212867,PC,,6.9989206,2840.0,14.7752
1008.01,440801822,FP,,2.0483755,483.0,3.19621
1009.01,107782586,PC,,1.9600277,1707.6272693,
101.01,231663901,KP,,1.4303699,18960.7122944,13.1874503
1010.01,139853601,FP,,0.6808702,1507.8006889,5.9115908
1011.01,114018671,PC,,2.4705036,273.0272045,1.44656
1012.01,427508467,APC,,0.884182,1890.0,24.8132
1013.01,97700520,FP,,5.4255548,14939.6342222,
1014.01,96246348,FP,,1.4095184,2841.5103258,
1015.01,155044736,FP,,1.3730466,1301.5065338,42.1479417
1016.01,175310067,FP,,12.6889415,3232.8527885,14.0608342
1108.01,295599256,FP,,7.14386,11146.4,22.1531
1109.01,50309953,FP,,7.04083,1580.0,8.46404
111.01,355703913,KP,,2.1061569,12142.2238514,13.086872
1110.01,446549905,FP,,2.4545635,4248.0,11.1276
1111.01,412014494,FP,,11.4756978,8341.0,14.1098
1112.01,369864738,FP,,2.78186,490.0,4.92567
1113.01,290348382,FP,,6.4410082,7076.0,4.59203
1114.01,409934330,APC,,2.4887726,4852.0,
1115.01,379286801,APC,,4.45199,8483.38,15.8858
1116.01,304100538,PC,,5.0100708,409.4812214,2.3107394
1117.01,295541511,PC,,2.2281625,630.0,2.56778
1118.01,90919952,FP,,4.13812,5560.0,
1119.01,261369656,APC,,10.95663,3830.0,23.9726
112.01,388104525,KP,,2.4997996,14621.2059647,13.8516093
1120.01,143257766,FP,,1.66226,6030.0,13.3343
1121.01,24094603,FP,,4.07611,1454.18,
1122.01,304774444,FP,,3.6245513,1299.0,4.3503
1123.01,469782185,APC,,1.20928,11883.8,15.1764
1124.01,128790976,APC,,3.5187707,5634.0,14.0061
1125.01,80166433,PC,,0.7724825,211.3168519,4.1624907
1126.01,405862830,FP,,1.6268695,1502.0,2.36498
1127.01,269450900,FP,,2.32439,2704.18,
1128.01,425721385,FP,,13.5499,1180.0,6.24633
1129.01,91576611,FP,,4.43651,1520.0,19.9664
113.01,97409519,KP,,3.372877,17163.60419,14.201803
1130.01,254113311,CP,,8.34998,16680.0,11.1424
1130.02,254113311,CP,,4.0686405,2650.0950013,3.7548333
1131.01,198213332,PC,,0.5860366,410.5241553,4.906408
1132.01,267489265,FP,,1.5502952,411.0,3.34528
1133.01,69997672,FP,,1.80709,450.0,4.86242
1134.01,122220263,FP,,18.6922101,11126.0,18.1458
1135.01,154872375,CP,,8.0277326,5705.0,9.06883
1136.01,142276270,CP,,12.5187279,2320.0,5.58857
1136.02,142276270,CP,,6.2586065,813.0,2.51593
1136.03,142276270,CP,,26.3208756,800.0,2.71349
1136.04,142276270,CP,,18.795547,470.6731965,2.1597669
1137.01,89389197,PC,,1.3206356,1052.4255997,34.7561624
1078.01,370133522,CP,,0.5182425,831.8920424,1.3485121
1079.01,379240073,PC,,3.1644075,5603.4635466,14.8814743
108.01,289793076,KP,,3.0440495,22807.0101774,12.3803804
